Company Name,Shares Outstanding,Revenue,Net Income,Operating Expenses,Founded,Industry,Sector,Number of Employees,CEO,Capital Expenditure,Market Capitization,Long-Term Debt,Common Stock Value,Financial Performance,Analyst Forecast,Top News
JPMorgan Chase & Co.,"3,022","121,649","46,503","71,343",1799,Banks,Financial Services,"288,474",James Dimon,NA,"400,323",NA,"21,943","In 2021, JPM's revenue was $121.65 billion, an increase of 1.42% compared to the previous year's $119.95 billion. Earnings were $46.50 billion, an increase of 69.66%.","According to 31 analysts, the average rating for JPM stock is ""Buy."" The 12-month stock price forecast is 140.21, which is an increase of 2.73% from the latest price.","Top Dividend Stocks: Morgan Stanley Offers Value And Yield For Investors 7 Must-Own Safe Havens as Market Selloff Accelerates J.P. MORGAN UNVEILS WHAT'S NEXT IN ARTS, CULTURE AND BOOKS FOR 2023 JP Morgan remains world's biggest systemically important bank Chase Takes Nationwide Action to Expand Credit Access for Small Businesses Through Special Purpose Credit Program in ... After Q3 Beat, Is JPMorgan Stock Fairly Priced? 9 Best Value Stocks to Buy Now JPMorgan (JPM) to Set Up New Office, Seeks Expansion in Greece JPMorgan Chase & Co. (JPM) Is a Trending Stock: Facts to Know Before Betting on It JPMorgan Dodges a Buyout-Loan Bullet These 2 Dividend Paying ETFs Have A Track Record For Increasing Payments, Can Help Diversify Against Industry Risk - ... 3 Top-Ranked Stocks up More Than 25% The Past Month JPMorgan Chase hiring 50 employees in Greece for blockchain research J.P. Morgan to Expand in Greece Rising Rates Hit Banks' Bond Holdings Investors Lose $5 Trillion On 12 Stocks They Bet The Farm On JPMorgan Chase and 5 other U.S. mega banks behind a third of the global funding expanding coal, oil and gas My Top Banking Stock to Buy and Hold Forever Biden administration encourages Wall Street banks to keep doing business with certain strategic Russian firms, report... 5 Stocks With High ROE to Buy Amid Congress Mid-Term Polls"
Mastercard,988,"18,884","8,687","8,802",1966,IT Services,Financial Services,"24,000",Richard Davis,-814,"332,534","13,109","-37,527","In 2021, Mastercard's revenue was $18.88 billion, an increase of 23.42% compared to the previous year's $15.30 billion. Earnings were $8.69 billion, an increase of 35.50%.","According to 47 analysts, the average rating for MA stock is ""Buy."" The 12-month stock price forecast is 406.34, which is an increase of 16.55% from the latest price.","Stocks With China Exposure Are Rising With Reopening Hopes Mastercard to Participate in Upcoming Investor Conference Why Mastercard's (MA) Cross-Border Growth is Beneficial for You Is This Unstoppable Growth Stock a Buy Right Now? 2 Reasons Why Mastercard Is Becoming a Solid Buy 7 Stocks to Buy as Republicans Recapture the House 2 Hot Stocks to Buy and Hold Until You Retire Here is What to Know Beyond Why Mastercard Incorporated (MA) is a Trending Stock Mastercard (MA) Unveils Google Wallet for Card Users in Malaysia Beat the Dow Jones With This Unstoppable Dividend Stock Mastercard's Miebach: Sees Asia, Travel as Opportunities Mastercard releases consumer spending survey These 3 Stocks Were Warren Buffett's Biggest Winners Over the Past 5 Years This Portfolio Manager Found A Defensive Play That Pays Off Why Shares of Visa, Mastercard, and Blackstone Are Rising Today Why Mastercard Stock Jumped 15.4% Higher in October Consumer Spending Is Strong, but What Does It Mean for the Economy? Market-Beating Manager Sold Apple, Microsoft, and Mastercard Stock Is Trending Stock Mastercard Incorporated (MA) a Buy Now? Mastercard CEO: Consumer spending not indicating near-term recession"
HSBC Holdings,"20,694","63,940","13,917","33,692",1865,Banks,Financial Services,"219,697",Noel Quinn,"-1,086","117,693",NA,"53,792","In 2021, HSBC Holdings's revenue was $63.94 billion, an increase of 1.37% compared to the previous year's $63.07 billion. Earnings were $13.92 billion, an increase of 166.15%.","According to 25 analysts, the average rating for HSBC stock is ""Buy."" The 12-month stock price forecast is 38.2, which is an increase of 29.62% from the latest price.","HSBC: Strong Industry, Solid Earnings Estimate Revisions HSBC BANK PLC ANNOUNCES RESULTS OF TENDER OFFERS TO PURCHASE NOTES FOR CASH Is It Time to Dive Back into Stocks? HSBC (HSBC) Crossed Above the 50-Day Moving Average: What That Means for Investors HSBC (HSBC) Just Overtook the 20-Day Moving Average HSBC's Top Shareholder Steps Up Pressure for Big Revamp HSBC share price outlook as Ping An pressure mounts HSBC top shareholder Ping An urges aggressive cost cuts, renews spin-off push HSBC raising best lending rate to 5.375% after Hong Kong rate hike HSBC Bank USA, N.A. and Affiliates Raise Prime and Reference Rate HSBC Finance Chief Sought Top Job Before Surprise Resignation HSBC's Canada unit loses National Bank, CIBC as bidders, Global and Mail reports HSBC vs. NABZY: Which Stock Is the Better Value Option? Is HSBC (HSBC) Stock Undervalued Right Now? HSBC Q3 Pre-Tax Earnings Decline Y/Y Despite Revenue Growth HSBC Falls, UBS Rises as European Bank Earnings Season Starts HSBC Falls, UBS Rises as European Bank Earnings Season Kicks Off HSBC CFO Ewen Stevenson to Step Down HSBC Profit Falls on French Retail Disposal, Rising Credit Provisions HSBC Holdings profit tumbles 46%, amid impairment charges, more provisions for bad loans"
Lloyds Banking Group,"70,839","37,444","5,355","10,800",NA,Banks,Financial Services,"57,955",Antonio Horta-Osorio,"-1,791","36,157",NA,"42,676","In 2021, LYG's revenue was 37.44 billion, an increase of 28.38% compared to the previous year's 29.17 billion. Earnings were 5.36 billion, an increase of 519.08%.","According to 27 analysts, the average rating for LYG stock is ""Buy."" The 12-month stock price forecast is 2.9, which is an increase of 34.88% from the latest price.","UK's Lloyds Bank offers staff 2,000 pounds minimum pay rise Lloyds share price is recoiling: Is it a good investment? Lloyds Bank plc 2022 Q3 Interim Management Statement Lloyds Banking Group profit tumbles 26% over amid impairment charge, challenging economy Lloyds reports Q3 profit slide on bad loan charges Lloyds share price forecast: Q3 earnings preview Lloyds Banking Group Is as Safe as Houses UK's Lloyds ditches project finance for new oil and gas fields Lloyd's of London says no evidence found of data compromise from cyberattack Is Lloyds Banking Group (LYG) a Great Value Stock Right Now? Is the Lloyds share price a bargain ahead of BoE decision? LYG vs. NABZY: Which Stock Is the Better Value Option? Should Value Investors Buy Lloyds Banking Group (LYG) Stock? 7 Cheap Dividend Stocks Under $5 LYG vs. NABZY: Which Stock Should Value Investors Buy Now? Are Investors Undervaluing Lloyds Banking Group (LYG) Right Now? UK banks weighing deals despite looming threat of recession Higher interest rates a 'bright spot' for Europe's banks LLoyds Looks to Buy More FinTechs, CEO Says Lloyds Banking Group Hikes Profit Forecasts"
Barclays,"16,851","22,593","6,205","14,659",NA,Banks,Financial Services,"81,600",James Staley,"-1,720","30,521",NA,"18,565","In 2021, Barclays's revenue was 22.59 billion, an increase of 33.47% compared to the previous year's 16.93 billion. Earnings were 6.21 billion, an increase of 306.62%.","According to 26 analysts, the average rating for BCS stock is ""Buy."" The 12-month stock price forecast is 11.2, which is an increase of 45.45% from the latest price.","BCS LAWSUIT ALERT: Levi & Korsinsky Notifies Barclays PLC Investors of a Class Action Lawsuit and Upcoming Deadline BCS ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of November 22, 2022 in the Class Action Filed on B... SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Barclays PLC - BCS The Law Offices of Frank R. Cruz Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Barclays P... Barclays Securities Fraud Class Action Lawsuit Pending: Contact Levi & Korsinsky Before November 22, 2022 to Discuss ... BCS TUESDAY DEADLINE: ROSEN, A TOP RANKED FIRM, Encourages Barclays PLC Investors to Secure Counsel Before Important ... CLASS ACTION ALERT: The Law Offices of Vincent Wong Remind Barclays Investors of a Lead Plaintiff Deadline of Novembe... BCS Final Deadline Notice: ROSEN, Leading Investor Counsel, Encourages Barclays PLC Investors with Losses to Secure C... BCS Investors Have Opportunity to Lead Barclays PLC Securities Fraud Lawsuit TUESDAY DEADLINE NOTICE: The Schall Law Firm Encourages Investors in Barclays PLC with Losses of $100,000 to Contact ... BCS SHAREHOLDER ALERT: Jakubowitz Law Reminds Barclays Shareholders of a Lead Plaintiff Deadline of November 22, 2022 TUESDAY DEADLINE REMINDER: The Schall Law Firm Encourages Investors in Barclays PLC with Losses of $100,000 to Contac... BARCLAYS PLC (BCS) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a... SHAREHOLDER ALERT: The Gross Law Firm Notifies Shareholders of Barclays PLC of a Class Action Lawsuit and a Lead Plai... INVESTOR ACTION ALERT: The Schall Law Firm Encourages Investors in Barclays PLC with Losses of $100,000 to Contact th... Barclays And Citigroup Cut Hundreds Of Employees—Here Are The Biggest U.S. Layoffs This Year SHAREHOLDER ACTION NOTICE: The Schall Law Firm Encourages Investors in Barclays PLC with Losses of $100,000 to Contac... Wall Street layoffs pick up steam as Citigroup and Barclays cut hundreds of workers SHAREHOLDER ACTION REMINDER: The Schall Law Firm Encourages Investors in Barclays PLC with Losses of $100,000 to Cont... Citi, Barclays Join Rivals in Investment-Banking Job Cuts"
American International Group,854,"52,057","9,388","13,363",1919,Insurance,Financial Services,"36,600",Brian Duperreault,NA,"45,292",NA,"35,484",NA,"According to 21 analysts, the average rating for AIG stock is ""Buy."" The 12-month stock price forecast is 66.05, which is an increase of 8.35% from the latest price.","Is American International Group Stock Fairly Priced? AIG Announces Five-Year Employment Agreement with Peter Zaffino 5 Multiline Insurers to Watch Amid High Inflation and Rate Rise AIG Announces Independent Director Paola Bergamaschi Elected to Join Board Effective December 1, 2022 Midterm elections will be big market catalyst in near term, says Momentum's Allan Boomer AIG Q3 Earnings Beat Estimates on General Insurance Strength American International Group (AIG) Q3 Earnings Surpass Estimates Insurer AIG profit slumps on hurricane costs, lower investment returns AIG Reports Third Quarter 2022 Results What to Expect From American International's (AIG) Q3 Earnings? Analysts Estimate American International Group (AIG) to Report a Decline in Earnings: What to Look Out for AIG to Report Third Quarter 2022 Financial Results on November 1, 2022 and Host Conference Call on November 2, 2022 AIG Announces Redemption of Certain Outstanding Notes AIG Announces Closing of Corebridge Financial, Inc. Initial Public Offering AIG's Corebridge IPO Biggest in 2022 So Far, Fetches $1.7B AIG's Spinoff IPO Doesn't Have to Be Perfect AIG unit Corebridge Financial's IPO prices at low end of range to raise $1.6 billion and mark biggest IPO of the year... AIG unit Corebridge raises $1.68 bln in year's largest IPO AIG Announces Pricing of Corebridge Financial, Inc. Initial Public Offering This AIG spinoff is the biggest IPO of the year at just $1.8 billion as 2022 deals dry up"
Canadian Imperial Bank of Commerce,894,"20,015","6,429","11,535",1867,Banks,Financial Services,"49,505",Victor Dodig,-839,"43,859",NA,"18,786","In 2021, CM's revenue was 20.02 billion, an increase of 6.80% compared to the previous year's 18.74 billion. Earnings were 6.43 billion, an increase of 69.63%.","According to 25 analysts, the average rating for CM stock is ""Buy."" The 12-month stock price forecast is 56.25, which is an increase of 16.03% from the latest price.","HSBC's Canada unit loses National Bank, CIBC as bidders, Global and Mail reports BNPQY vs. CM: Which Stock Should Value Investors Buy Now? CIBC Announces Senior Executive Appointments The 3 Best Bank Stocks to Buy Now BCS vs. CM: Which Stock Should Value Investors Buy Now? BCS or CM: Which Is the Better Value Stock Right Now? Canadian Imperial (CM) Q3 Earnings Fall on Higher Provisions Canadian Imperial Bank (CM) Beats Q3 Earnings and Revenue Estimates Canadian lender CIBC posts fall in third-quarter earnings Canadian banks face Q3 earnings declines on provisions, markets woes Analysts Estimate Canadian Imperial Bank (CM) to Report a Decline in Earnings: What to Look Out for 3 High-Yield Bank Stocks to Earn Passive Income for Years BNPQY or CM: Which Is the Better Value Stock Right Now? Why Canadian Imperial Bank (CM) is a Top Dividend Stock for Your Portfolio KBCSY or CM: Which Is the Better Value Stock Right Now? 3 Top Dividend Stocks That Wall Street Is Sleeping On CIB or CM: Which Is the Better Value Stock Right Now? Canadian Imperial (CM) Down as Q2 Earnings Fall on Higher Costs Canadian Imperial Bank (CM) Beats Q2 Earnings and Revenue Estimates BSMX vs. CM: Which Stock Should Value Investors Buy Now?"
American Express Company,789,"43,799","8,060","33,110",1850,Consumer Finance,Financial Services,"64,000",Stephen Squeri,"-1,550","115,022",NA,"11,648","In 2021, AXP's revenue was $43.80 billion, an increase of 39.68% compared to the previous year's $31.36 billion. Earnings were $8.06 billion, an increase of 157.10%.","According to 32 analysts, the average rating for AXP stock is ""Buy."" The 12-month stock price forecast is 171.81, which is an increase of 11.62% from the latest price.","Warren Buffett Now Owns 20% or More of These 5 Companies Find Out if You Are Approved for an American Express Personal Card Before Impacting Your Credit Score American Express Partners With TikTok As Social Media Drives Small Business Saturday 3 Stocks You Can Buy Today to Take Advantage of Robust Consumer Spending AmEx (AXP) Teams Up With Square to Launch Tailored Credit Card 2 of the Cheapest Stocks I Own Square to launch credit card, partnering with Amex American Express and Square Partner to Create First Credit Card for Square Sellers Warren Buffett Owns a Lot of Stocks -- Here's the One I'm Most Excited About American Express and TikTok Launch the #ShopSmall Accelerator to Help Small Businesses Reach New Audiences on Small B... 3 Ways to Follow Warren Buffett to Massive Long-Term Gains American Express CEO to Participate in Goldman Sachs U.S. Financial Services Conference Assessing Buffett's biggest stock bets Nearly three-quarters of Buffett's portfolio is in five stocks American Express Commits Over $5 Million to Help Cities Build Resilience to Fight Climate Change 4 Forever Stocks You Can Buy On Sale Right Now Why Did Rapper Jack Harlow Get a Shoutout on AmEx's Recent Earnings Call? American Express Travel's 2023 Trending Destinations Unveils Top Trips for Every Type of Traveler What Recession? This Resilient Warren Buffett Stock Just Keeps Plugging Along 3 Warren Buffett Stocks to Buy Hand Over Fist in November"
The Goldman Sachs Group,351,"59,339","21,635","31,938",1869,Capital Markets,Financial Services,"49,100",David Solomon,-734,"130,798",NA,"-19,817","In 2021, GS's revenue was $59.34 billion, an increase of 33.17% compared to the previous year's $44.56 billion. Earnings were $21.64 billion, an increase of 128.72%.","According to 34 analysts, the average rating for GS stock is ""Buy."" The 12-month stock price forecast is 391.54, which is an increase of 1.37% from the latest price.","Goldman Sachs (GS) to Pay SEC $4M Penalty Over ESG Fund Case Top Dividend Stocks: Morgan Stanley Offers Value And Yield For Investors SEC charges Goldman Sachs Asset Management with not following ESG investments policies Goldman Sachs to Pay $4 Million to Settle Investigation Over ESG Funds Goldman Sachs Asset Management fined $4 million to settle SEC charges of lax ESG policies 3 Bargain Stocks You Can Buy Today and Hold Forever 7 Stocks to Buy as Republicans Recapture the House Goldman (GS) Up 22.6% Since Last Earnings Report: Can It Continue? ‘Investors aren't thinking enough about what can go right in 2023.' Veteran manager offers five stocks to play the bi... Goldman Sachs Shows Powerful Gains; Here's How This Option Trade Could Net $165 | IBD 2 Dirt Cheap Dividend Stocks to Buy Right Now Is Goldman Sachs Stock Attractive At The Current Levels? Goldman Sachs paid $12 million to female partner to settle sexism complaint, Bloomberg reports Bankers' bonuses seen cratering Goldman Sachs Asset Management and Lincoln Harris Purchase 445,000-Square-Foot Life Science Campus in the Heart of Ra... Capital Wealth Planning founder Kevin Simpson presents his 5-star defensive playbook Rising Rates Hit Banks' Bond Holdings Goldman Sachs CEO says he expects a 'reopening' in capital markets next year ClearGen Announces the Acquisition of Partnership Interests in 25 Wind Farms Totaling 1.4 Net GW from MUFG Goldman Sachs just announced its newest partner class. From trading to investment banking, here's the businesses that..."
Bank of America,"8,493","89,113","31,978","59,731",1784,Banks,Financial Services,"213,000",Brian Moynihan,0,"301,724",NA,"87,106","In 2021, BAC's revenue was $89.11 billion, an increase of 4.19% compared to the previous year's $85.53 billion. Earnings were $31.98 billion, an increase of 78.71%.","According to 31 analysts, the average rating for BAC stock is ""Buy."" The 12-month stock price forecast is 41.78, which is an increase of 11.09% from the latest price.","4 dividend growth stocks to buy with a 5-year dividend growth rate of 15% 2 No-Brainer Buffett Stocks to Buy for 2023 3 Stocks You Can Buy Today to Take Advantage of Robust Consumer Spending BofA Awards Over $3.6 Million to Nonprofits Tackling Economic Mobility in Metro Detroit 3 of the Smartest Stocks to Buy in a Fed-Induced Bear Market Why Is Bank of America (BAC) Up 8.1% Since Last Earnings Report? Is It Time to Buy the S&P 500's 4 Worst-Performing Stocks? Here Are My 5 Largest Dividend Stock Investments Right Now Bankers' bonuses seen cratering Bank of America Corporation (BAC) is Attracting Investor Attention: Here is What You Should Know Prem Watsa's Fairfax Buys Orla Mining, Adds to 2 Top Holdings Citigroup Analysts Yank Buy Rating From Bank of America Bank of America downgraded to neutral IBD Names 13 Best HSA Accounts For 2023 The Top 10 HSA Misconceptions, And 2023 HSA Rules 7 Cheap Blue-Chip Stocks to Buy Before They Rebound Rising Rates Hit Banks' Bond Holdings Bank of America Issues Its Third Equality Progress Sustainability Bond for $2 Billion Bank of America Corporation Announces Cash Tender Offers by BofA Securities, Inc. for up to $1.5 Billion in Aggregate... BofA Data Finds Overall Consumer Spending Continued to Grow in October though at a Slower Pace than Prior Months"
