author,followers,date,message,hashtags,retweet,location,score,sentiment,likes,popularity score,reach score,relevance score,company,sector
mannilotrader,30,2022-11-28 08:14:16+00:00,"Tras el fiasco de FTX, JPMorgan hace la apuesta crypto más grande de su historia https://t.co/6KUjcJsynA",None,0,BingX invitation code: 5UHMMQ,-0.5106,negative,254,254,-75,353,JPMorgan Chase & Co.,Financial Services
jaiye7777,2683,2022-11-28 08:09:18+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,59990,64224,4,87824,JPMorgan Chase & Co.,Financial Services
VHS_Jon,25,2022-11-28 08:09:07+00:00,"@pwnwtfbbq Aka: crime, fraud, naked shorting via ETFs, hiding FTDs in SWAPS, rehypification, cellar boxing,… https://t.co/wVXPhmCr74",None,0,,-0.8591,negative,5316,5316,-51,6438,JPMorgan Chase & Co.,Financial Services
sasha_sue87,13514,2022-11-28 08:08:30+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Iowa, USA",-0.5859,negative,19387,23621,3780,30202,JPMorgan Chase & Co.,Financial Services
LibertyLou4,1048,2022-11-28 08:08:09+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Orlando, FL",-0.5859,negative,13885,18119,-1846,39705,JPMorgan Chase & Co.,Financial Services
RiskUniverse,1106,2022-11-28 08:08:05+00:00,"JPMorgan and Deutsche Bank sued by Epstein victims.

via @FinancialTimes 
#PrivateBanking #WealthManagement #bank… https://t.co/cjtgTG1ykJ",Privatebanking,0,Birmingham,-0.3182,negative,72,72,-291,1026,JPMorgan Chase & Co.,Financial Services
TheHeroComplex7,36,2022-11-28 08:05:50+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,TX,-0.5859,negative,1032,5266,-263,5593,JPMorgan Chase & Co.,Financial Services
Clarenc80146536,4,2022-11-28 08:03:37+00:00,JPMorgan: Global Regulation Urgently Needed for Banks to Help Clients Invest in Crypto. #TechTrees $TTC,Techtrees,0,,0.4019,positive,1123,1123,-28,1810,JPMorgan Chase & Co.,Financial Services
UsMarketNews,307,2022-11-28 08:02:04+00:00,$BUD ↑upgrade JPMorgan Upgrades Anheuser-Busch InBev (BUD) to Overweight,None,0,,-0.3612,negative,0,0,307,16112,JPMorgan Chase & Co.,Financial Services
rjcruthers,1734,2022-11-28 08:01:16+00:00,"RT @Loveon999: 🤩 Epstein victims sue Deutsche and JPMorgan!⚡️ Filed by women anonymized as “Jane Doe,” the lawsuits were filed in the SDNY…",None,129,"Liverpool, England",-0.4926,negative,13497,13626,398,50199,JPMorgan Chase & Co.,Financial Services
AlbertaEmma3,5,2022-11-28 08:00:58+00:00,JPMorgan CEO Jamie Dimon Warns of Incoming Economic Hurricane — Says 'You Better Brace Yourself'. #TechTrees $TTC https://t.co/qGQ5GkOPxI,Techtrees,0,,0.3612,positive,3414,3414,-18,4789,JPMorgan Chase & Co.,Financial Services
