Date,Year,Expenditure in Billions,Features
1/1/2001,2001,1209.39,Health
1/1/2002,2002,1317.08,Health
1/1/2003,2003,1410.72,Health
1/1/2004,2004,1514.93,Health
1/1/2005,2005,1612.26,Health
1/1/2006,2006,1715,Health
1/1/2007,2007,1823.24,Health
1/1/2008,2008,1909.27,Health
1/1/2009,2009,1999.26,Health
1/1/2010,2010,2078.1,Health
1/1/2011,2011,2153.23,Health
1/1/2012,2012,2230.73,Health
1/1/2013,2013,2288.26,Health
1/1/2014,2014,2409.13,Health
1/1/2015,2015*,2564.8,Health
1/1/2016,2016*,2690.12,Health
1/1/2017,2017*,2795.97,Health
1/1/2018,2018*,2919.48,Health
1/1/2019,2019*,3073.87,Health
1/1/2000,2000,1109.59,Health
1/1/2001,2001,1151.49,Health services
1/1/2002,2002,1255.13,Health services
1/1/2003,2003,1343.89,Health services
1/1/2004,2004,1442.47,Health services
1/1/2005,2005,1533.56,Health services
1/1/2006,2006,1629.44,Health services
1/1/2007,2007,1729.86,Health services
1/1/2008,2008,1812.74,Health services
1/1/2009,2009,1900.98,Health services
1/1/2010,2010,1973.87,Health services
1/1/2011,2011,2042.37,Health services
1/1/2012,2012,2114.53,Health services
1/1/2013,2013,2168.05,Health services
1/1/2014,2014,2284.6,Health services
1/1/2015,2015*,2433.83,Health services
1/1/2016,2016*,2554.6,Health services
1/1/2017,2017*,2655.84,Health services
1/1/2018,2018*,2773.4,Health services
1/1/2019,2019*,2921.11,Health services
1/1/2000,2000,1052.23,Health services
1/1/2001,2001,988.51,Medical services by disease
1/1/2002,2002,1080.95,Medical services by disease
1/1/2003,2003,1160.42,Medical services by disease
1/1/2004,2004,1247.43,Medical services by disease
1/1/2005,2005,1326.72,Medical services by disease
1/1/2006,2006,1413.75,Medical services by disease
1/1/2007,2007,1499.06,Medical services by disease
1/1/2008,2008,1569.41,Medical services by disease
1/1/2009,2009,1650.94,Medical services by disease
1/1/2010,2010,1714.32,Medical services by disease
1/1/2011,2011,1778.66,Medical services by disease
1/1/2012,2012,1846.24,Medical services by disease
1/1/2013,2013,1896.19,Medical services by disease
1/1/2014,2014,2005.04,Medical services by disease
1/1/2015,2015*,2144.38,Medical services by disease
1/1/2016,2016*,2252.51,Medical services by disease
1/1/2017,2017*,2345.82,Medical services by disease
1/1/2018,2018*,2452.37,Medical services by disease
1/1/2019,2019*,2587.18,Medical services by disease
1/1/2000,2000,900.75,Medical services by disease
1/1/2001,2001,28.03,Infectious and parasitic diseases
1/1/2002,2002,32.4,Infectious and parasitic diseases
1/1/2003,2003,35.66,Infectious and parasitic diseases
1/1/2004,2004,35.44,Infectious and parasitic diseases
1/1/2005,2005,41.89,Infectious and parasitic diseases
1/1/2006,2006,48.17,Infectious and parasitic diseases
1/1/2007,2007,53.14,Infectious and parasitic diseases
1/1/2008,2008,58.72,Infectious and parasitic diseases
1/1/2009,2009,63.34,Infectious and parasitic diseases
1/1/2010,2010,66.76,Infectious and parasitic diseases
1/1/2011,2011,71.4,Infectious and parasitic diseases
1/1/2012,2012,76.69,Infectious and parasitic diseases
1/1/2013,2013,81.64,Infectious and parasitic diseases
1/1/2014,2014,93.12,Infectious and parasitic diseases
1/1/2015,2015*,109.48,Infectious and parasitic diseases
1/1/2016,2016*,120.23,Infectious and parasitic diseases
1/1/2017,2017*,126.42,Infectious and parasitic diseases
1/1/2018,2018*,135.33,Infectious and parasitic diseases
1/1/2019,2019*,143.03,Infectious and parasitic diseases
